keyword,ngram,pattern,start,end,phrase_length
holmes she,2,NN,3,4,2
woman i,2,NN,8,9,2
him,1,N,13,13,1
her under any other name in his eyes,8,NPDANPNN,15,22,8
other name in his eyes she,6,ANPNNN,18,23,6
whole of her sex it,5,NPNNN,28,32,5
he,1,N,36,36,1
emotion akin,2,NN,39,40,2
irene adler,2,AN,44,45,2
emotions,1,N,47,47,1
one,1,N,50,50,1
his cold precise,3,NAN,55,57,3
mind he,2,NN,61,62,2
i,1,N,64,64,1
it,1,N,66,66,1
perfect reasoning,2,AN,69,70,2
machine,1,N,73,73,1
world,1,N,76,76,1
lover he,2,NN,82,83,2
himself in a false position he,6,NPDANN,87,92,6
softer passions,2,NN,97,98,2
gibe,1,N,102,102,1
sneer they,2,NN,105,106,2
admirable things for the observer,5,ANPDN,108,112,5
veil from men,3,NPN,118,120,3
motives,1,N,122,122,1
actions,1,N,124,124,1
reasoner,1,N,129,129,1
such intrusions into his own delicate,6,ANPNAN,132,137,6
temperament,1,N,141,141,1
distracting factor which,3,ANN,146,148,3
doubt upon all his mental results,6,NPDNAN,152,157,6
sensitive instrument,2,AN,161,162,2
crack,1,N,165,165,1
his own high power lenses,5,NAANN,169,173,5
strong emotion in a nature,5,ANPDN,181,185,5
his,1,N,188,188,1
there,1,N,191,191,1
one woman to him,4,ANPN,194,197,4
woman,1,N,200,200,1
late irene adler,3,AAN,203,205,3
questionable memory i,3,ANN,209,211,3
holmes,1,N,216,216,1
my marriage,2,NN,218,219,2
us,1,N,222,222,1
other my own complete happiness,5,ANAAN,226,230,5
home,1,N,233,233,1
interests which,2,NN,235,236,2
man who,2,NN,241,242,2
himself master of his own establishment,6,NNPNAN,245,250,6
my attention,2,NN,256,257,2
holmes who,2,NN,259,260,2
form of society with his whole bohemian soul,8,NPNPNAAN,263,270,8
our lodgings in baker street,5,NNPNN,273,277,5
his old books,3,NAN,280,282,3
week to week between cocaine,5,NPNPN,286,290,5
ambition,1,N,292,292,1
drowsiness of the drug,4,NPDN,294,297,4
fierce energy of his own keen nature he,8,NNPNAANN,300,307,8
study of crime,3,NPN,316,318,3
his immense faculties,3,NAN,321,323,3
extraordinary powers of observation,4,ANPN,325,328,4
clues,1,N,333,333,1
mysteries which,2,NN,338,339,2
official police from time to time i,7,ANPNPNN,347,353,7
vague account of his doings of his summons,8,ANPNNPNN,356,363,8
his doings of his summons to odessa,7,NNPNNPN,359,365,7
his summons to odessa in the case,7,NNPNPDN,362,368,7
odessa in the case of the trepoff murder,8,NPDNPDNN,365,372,8
case of the trepoff murder of his clearing,8,NPDNNPNN,368,375,8
his clearing up of the singular tragedy,7,NNPPDAN,374,380,7
singular tragedy of the atkinson brothers at trincomalee,8,ANPDNNPN,379,386,8
mission which he,3,NNN,391,393,3
family of holland beyond these signs of his,8,NPNPDNPN,403,410,8
holland beyond these signs of his activity,7,NPDNPNN,405,411,7
which i,2,NN,413,414,2
readers of the daily press i,6,NPDANN,420,425,6
little of my former friend,5,NPNAN,427,431,5
companion one night,3,NAN,433,435,3
it,1,N,437,437,1
twentieth of march,3,NPN,441,443,3
i,1,N,446,446,1
journey to a patient,4,NPDN,451,454,4
i,1,N,456,456,1
civil practice,2,AN,461,462,2
my way,2,NN,464,465,2
me through baker street,4,NPNN,467,470,4
i,1,N,472,472,1
door which,2,NN,477,478,2
my mind with my wooing,5,NNPNN,484,488,5
dark incidents of the study in scarlet i,8,ANPDNPNN,492,499,8
keen desire,2,AN,504,505,2
holmes,1,N,508,508,1
he,1,N,514,514,1
his extraordinary powers his rooms,5,NANNN,517,521,5
lit,1,N,524,524,1
i,1,N,528,528,1
i,1,N,531,531,1
his tall spare figure pass,5,NANNN,533,537,5
dark silhouette against the blind he,6,ANPDAN,541,546,6
room,1,N,550,550,1
his head,2,NN,554,555,2
his chest,2,NN,558,559,2
his hands,2,NN,561,562,2
him to me who,4,NPNN,565,568,4
his,1,N,570,570,1
mood,1,N,572,572,1
his attitude,2,NN,575,576,2
manner,1,N,578,578,1
their own story he,4,NANN,580,583,4
work,1,N,586,586,1
he,1,N,588,588,1
his drug,2,NN,593,594,2
dreams,1,N,596,596,1
scent of some new problem i,6,NPDANN,602,607,6
bell,1,N,610,610,1
chamber which,2,NN,617,618,2
part my,2,NN,623,624,2
his manner,2,NN,626,627,2
it,1,N,631,631,1
he,1,N,635,635,1
glad i,2,AN,637,638,2
me,1,N,642,642,1
word,1,N,646,646,1
kindly eye he,3,ANN,651,653,3
me to an armchair,4,NPDN,655,658,4
his case of cigars,4,NNPN,661,664,4
spirit case,2,NN,668,669,2
gasogene in the corner,4,NPDN,672,675,4
he,1,N,677,677,1
fire,1,N,681,681,1
me over in his singular introspective fashion,7,NPPNAAN,684,690,7
wedlock suits you,3,NNN,692,694,3
he,1,N,696,696,1
i,1,N,699,699,1
watson,1,N,701,701,1
you,1,N,703,703,1
half,1,N,710,710,1
i,1,N,713,713,1
you,1,N,715,715,1
seven,1,N,718,718,1
i,1,N,720,720,1
i,1,N,724,724,1
trifle,1,N,733,733,1
i fancy watson,3,NAN,735,737,3
practice,1,N,740,740,1
i,1,N,742,742,1
you,1,N,744,744,1
me,1,N,748,748,1
you,1,N,750,750,1
harness,1,N,755,755,1
you,1,N,761,761,1
i,1,N,765,765,1
it i,2,NN,767,768,2
it,1,N,770,770,1
i,1,N,773,773,1
you,1,N,776,776,1
yourself,1,N,780,780,1
you,1,N,786,786,1
most clumsy,2,AN,789,790,2
careless servant girl,3,AAN,792,794,3
my dear holmes,3,NAN,797,799,3
i,1,N,802,802,1
this,1,N,804,804,1
much you,2,AN,807,808,2
you,1,N,815,815,1
few centuries,2,AN,818,819,2
it,1,N,821,821,1
i,1,N,825,825,1
country walk on thursday,4,NNPN,828,831,4
dreadful mess,2,AN,837,838,2
i,1,N,841,841,1
my clothes i,3,NNN,844,846,3
you,1,N,851,851,1
it,1,N,853,853,1
jane she,2,NN,857,858,2
my wife,2,NN,862,863,2
her notice,2,NN,866,867,2
i,1,N,871,871,1
you,1,N,876,876,1
it,1,N,878,878,1
he,1,N,881,881,1
himself,1,N,884,884,1
his long nervous hands,4,NAAN,887,890,4
it,1,N,893,893,1
simplicity itself,2,NN,895,896,2
he,1,N,899,899,1
my eyes,2,NN,901,902,2
me,1,N,904,904,1
inside of your left shoe,5,NPNAN,908,912,5
firelight,1,N,916,916,1
it,1,N,918,918,1
leather,1,N,920,920,1
parallel cuts,2,AN,926,927,2
they,1,N,929,929,1
someone who,2,NN,934,935,2
edges of the sole in order,6,NPDNPN,942,947,6
mud from it,3,NPN,951,953,3
you,1,N,955,955,1
my double deduction that you,5,NANNN,957,961,5
vile weather,2,AN,966,967,2
you,1,N,970,970,1
malignant boot,2,AN,974,975,2
specimen of the london slavey as to your,8,NPDANPPN,977,984,8
london slavey as to your practice,6,ANPPNN,980,985,6
gentleman,1,N,988,988,1
my rooms,2,NN,991,992,2
iodoform with a black mark of nitrate,7,NPDANPN,995,1001,7
black mark of nitrate of silver upon his,8,ANPNPNPN,998,1005,8
nitrate of silver upon his right forefinger,7,NPNPNAN,1001,1007,7
bulge on the right side of his,7,NPDANPN,1010,1016,7
right side of his top hat,6,ANPNAN,1013,1018,6
he,1,N,1022,1022,1
his stethoscope i,3,NNN,1025,1027,3
i,1,N,1033,1033,1
him,1,N,1037,1037,1
active member of the medical profession,6,ANPDAN,1041,1046,6
i,1,N,1048,1048,1
ease with which he,4,NPNN,1055,1058,4
his process of deduction,4,NNPN,1060,1063,4
i,1,N,1066,1066,1
you,1,N,1068,1068,1
your reasons,2,NN,1070,1071,2
i,1,N,1073,1073,1
thing,1,N,1077,1077,1
me,1,N,1081,1081,1
i,1,N,1088,1088,1
it myself,2,NN,1092,1093,2
successive instance of your reasoning i,6,ANPNNN,1097,1102,6
you,1,N,1106,1106,1
your process,2,NN,1108,1109,2
i,1,N,1112,1112,1
my eyes,2,NN,1115,1116,2
yours,1,N,1121,1121,1
he,1,N,1127,1127,1
cigarette,1,N,1131,1131,1
himself,1,N,1134,1134,1
armchair,1,N,1138,1138,1
you,1,N,1140,1140,1
you,1,N,1143,1143,1
distinction,1,N,1148,1148,1
example you,2,NN,1152,1153,2
steps which,2,NN,1158,1159,2
hall to this room,4,NPDN,1164,1167,4
hundreds of times,3,NPN,1179,1181,3
many i,2,AN,1192,1193,2
you,1,N,1201,1201,1
you,1,N,1207,1207,1
that,1,N,1210,1210,1
my point,2,NN,1213,1214,2
i,1,N,1216,1216,1
there,1,N,1219,1219,1
seventeen steps,2,AN,1221,1222,2
i,1,N,1224,1224,1
way,1,N,1232,1232,1
you,1,N,1234,1234,1
little problems,2,AN,1239,1240,2
you,1,N,1243,1243,1
my trifling experiences you,4,NNNN,1253,1256,4
this,1,N,1261,1261,1
he,1,N,1263,1263,1
sheet of thick pink tinted notepaper which,7,NPAAANN,1267,1273,7
table,1,N,1280,1280,1
it,1,N,1282,1282,1
last post,2,AN,1286,1287,2
he,1,N,1290,1290,1
it,1,N,1293,1293,1
note,1,N,1297,1297,1
signature,1,N,1303,1303,1
address,1,N,1305,1305,1
there,1,N,1307,1307,1
you to night at a quarter,6,NPNPDN,1311,1316,6
night at a quarter to eight o'clock,7,NPDNPAN,1313,1319,7
it,1,N,1321,1321,1
gentleman who,2,NN,1325,1326,2
you upon a matter,4,NPDN,1330,1333,4
deepest moment your recent services,5,ANNAN,1337,1341,5
royal houses of europe,4,ANPN,1346,1349,4
you,1,N,1353,1353,1
one who,2,AN,1355,1356,2
matters which,2,NN,1362,1363,2
importance which,2,NN,1367,1368,2
account of you we,4,NPNN,1374,1377,4
quarters,1,N,1381,1381,1
your chamber,2,NN,1385,1386,2
hour,1,N,1390,1390,1
it amiss,2,NN,1395,1396,2
your visitor,2,NN,1398,1399,2
mask,1,N,1402,1402,1
this,1,N,1405,1405,1
mystery,1,N,1409,1409,1
i,1,N,1411,1411,1
what,1,N,1414,1414,1
you,1,N,1416,1416,1
it,1,N,1419,1419,1
i,1,N,1423,1423,1
data,1,N,1426,1426,1
it,1,N,1428,1428,1
capital mistake,2,AN,1431,1432,2
one,1,N,1436,1436,1
data,1,N,1438,1438,1
one begins to twist facts,5,ANPAN,1440,1444,5
theories,1,N,1447,1447,1
theories,1,N,1450,1450,1
facts,1,N,1453,1453,1
note itself what,3,NNN,1456,1458,3
you,1,N,1460,1460,1
it,1,N,1463,1463,1
i,1,N,1465,1465,1
writing,1,N,1469,1469,1
paper upon which it,4,NPNN,1472,1475,4
man who,2,NN,1480,1481,2
it,1,N,1483,1483,1
i,1,N,1490,1490,1
my companion,2,NN,1495,1496,2
processes,1,N,1498,1498,1
such paper,2,AN,1500,1501,2
crown,1,N,1509,1509,1
packet it,2,NN,1511,1512,2
stiff,1,N,1517,1517,1
peculiar,1,N,1520,1520,1
that,1,N,1522,1522,1
very word,2,AN,1525,1526,2
holmes,1,N,1529,1529,1
it,1,N,1531,1531,1
english paper,2,AN,1535,1536,2
it up to the light,5,NPPDN,1540,1544,5
i,1,N,1546,1546,1
e,1,N,1554,1554,1
g,1,N,1560,1560,1
p,1,N,1564,1564,1
g,1,N,1570,1570,1
t,1,N,1576,1576,1
texture of the paper,4,NPDN,1581,1584,4
what,1,N,1586,1586,1
you,1,N,1588,1588,1
that,1,N,1591,1591,1
holmes,1,N,1594,1594,1
name of the maker,4,NPDN,1597,1600,4
doubt,1,N,1602,1602,1
his monogram,2,NN,1604,1605,2
'g,1,N,1613,1613,1
small 't,2,AN,1617,1618,2
gesellschaft,1,N,1623,1623,1
which,1,N,1625,1625,1
german,1,N,1628,1628,1
company,1,N,1631,1631,1
it,1,N,1633,1633,1
customary contraction like our,4,ANPN,1636,1639,4
'p,1,N,1643,1643,1
papier,1,N,1650,1650,1
'eg,1,N,1655,1655,1
us,1,N,1658,1658,1
our continental gazetteer,3,NAN,1661,1663,3
he,1,N,1665,1665,1
heavy brown volume from his shelves,6,ANNPNN,1669,1674,6
eglow eglonitz,2,NN,1676,1677,2
we,1,N,1680,1680,1
it,1,N,1683,1683,1
german,1,N,1687,1687,1
country,1,N,1689,1689,1
in bohemia,2,NN,1691,1692,2
carlsbad,1,N,1696,1696,1
scene of the death of wallenstein,6,NPDNPN,1702,1707,6
its numerous glass factories,4,NANN,1710,1713,4
paper mills,2,NN,1715,1716,2
my boy what,3,NNN,1720,1722,3
you,1,N,1724,1724,1
that,1,N,1727,1727,1
his eyes,2,NN,1729,1730,2
he,1,N,1733,1733,1
great blue triumphant cloud from his cigarette,7,AANNPNN,1737,1743,7
paper,1,N,1746,1746,1
bohemia,1,N,1750,1750,1
i,1,N,1752,1752,1
man who,2,NN,1758,1759,2
note,1,N,1762,1762,1
german,1,N,1765,1765,1
you,1,N,1767,1767,1
peculiar construction of the sentence,5,NNPDN,1770,1774,5
account of you we,4,NPNN,1777,1780,4
quarters,1,N,1784,1784,1
it,1,N,1796,1796,1
german who,2,NN,1799,1800,2
his verbs it,3,NNN,1805,1807,3
what,1,N,1813,1813,1
german who,2,NN,1818,1819,2
bohemian paper,2,AN,1822,1823,2
prefers,1,N,1825,1825,1
mask,1,N,1828,1828,1
his face,2,NN,1831,1832,2
he,1,N,1835,1835,1
i,1,N,1838,1838,1
our doubts,2,NN,1845,1846,2
he,1,N,1849,1849,1
there,1,N,1851,1851,1
sharp sound of horses,4,ANPN,1854,1857,4
hoofs,1,N,1859,1859,1
wheels against the curb,4,NPDN,1862,1865,4
sharp pull at the bell,5,ANPDN,1869,1873,5
pair by the sound,4,NPDN,1878,1881,4
he,1,N,1884,1884,1
he,1,N,1888,1888,1
window,1,N,1894,1894,1
nice little brougham,3,AAN,1897,1899,3
pair of beauties,3,NPN,1902,1904,3
fifty guineas,2,AN,1908,1909,2
there,1,N,1911,1911,1
money in this case watson,5,NPDNN,1913,1917,5
there,1,N,1919,1919,1
nothing,1,N,1921,1921,1
i,1,N,1925,1925,1
i,1,N,1928,1928,1
holmes,1,N,1932,1932,1
bit doctor,2,NN,1937,1938,2
you,1,N,1941,1941,1
i,1,N,1943,1943,1
my boswell,2,NN,1947,1948,2
this,1,N,1950,1950,1
interesting it,2,AN,1954,1955,2
pity,1,N,1959,1959,1
it,1,N,1962,1962,1
your client,2,NN,1966,1967,2
him i,2,NN,1973,1974,2
your help,2,NN,1977,1978,2
he,1,N,1982,1982,1
he,1,N,1984,1984,1
armchair doctor,2,NN,1990,1991,2
us your best attention,4,NNAN,1994,1997,4
heavy step which,3,ANN,2002,2004,3
stairs,1,N,2010,2010,1
passage,1,N,2014,2014,1
door,1,N,2019,2019,1
there,1,N,2021,2021,1
authoritative tap,2,AN,2026,2027,2
holmes,1,N,2033,2033,1
man,1,N,2035,2035,1
who,1,N,2037,2037,1
six feet six inches in height,6,ANANPN,2044,2049,6
feet six inches in height with the chest,8,NANPNPDN,2045,2052,8
limbs of a hercules his dress,6,NPDNNN,2054,2059,6
richness which,2,NN,2064,2065,2
england,1,N,2068,2068,1
akin to bad taste heavy bands of astrakhan,8,NPANANPN,2073,2080,8
sleeves,1,N,2085,2085,1
fronts of his,3,NPN,2087,2089,3
coat,1,N,2092,2092,1
deep blue cloak which,4,AANN,2095,2098,4
his shoulders,2,NN,2102,2103,2
coloured silk,2,AN,2108,2109,2
neck with a brooch which,5,NPDNN,2114,2118,5
single flaming beryl boots which,5,ANNNN,2122,2126,5
his calves,2,NN,2130,2131,2
which,1,N,2133,2133,1
tops with rich brown fur,5,NPAAN,2138,2142,5
impression of barbaric opulence which,5,NPANN,2145,2149,5
his whole appearance he,4,NANN,2153,2156,4
hat in his hand,4,NPNN,2161,2164,4
he,1,N,2166,2166,1
upper part of his face,5,ANPNN,2170,2174,5
cheekbones,1,N,2179,2179,1
black vizard mask which he,5,ANNNN,2181,2185,5
moment for his hand,4,NPNN,2191,2194,4
it,1,N,2199,2199,1
he,1,N,2201,2201,1
lower part of the face he,6,ANPDNN,2205,2210,6
man of strong character with a thick hanging,8,NPANPDAN,2215,2222,8
strong character with a thick hanging lip,7,ANPDANN,2217,2223,7
long straight chin suggestive of resolution,6,AANNPN,2226,2231,6
length of obstinacy,3,NPN,2235,2237,3
you,1,N,2239,2239,1
my note,2,NN,2241,2242,2
he,1,N,2244,2244,1
deep harsh voice,3,AAN,2248,2250,3
german accent,2,AN,2255,2256,2
i,1,N,2258,2258,1
you,1,N,2260,2260,1
i,1,N,2262,2262,1
he,1,N,2266,2266,1
us,1,N,2274,2274,1
uncertain which,2,AN,2277,2278,2
seat,1,N,2285,2285,1
holmes,1,N,2288,2288,1
this,1,N,2290,2290,1
my friend,2,NN,2292,2293,2
colleague dr watson who,4,NNNN,2295,2298,4
me in my cases whom,5,NPNNN,2305,2309,5
i,1,N,2311,2311,1
honour,1,N,2313,2313,1
you,1,N,2318,2318,1
me as the count von kramm,6,NPDNNN,2321,2326,6
bohemian nobleman i,3,ANN,2328,2330,3
gentleman your friend,3,NNN,2334,2336,3
man of honour,3,NPN,2339,2341,3
discretion whom i,3,NNN,2343,2345,3
matter,1,N,2350,2350,1
extreme importance,2,AN,2354,2355,2
i,1,N,2358,2358,1
you,1,N,2365,2365,1
i,1,N,2368,2368,1
holmes,1,N,2373,2373,1
me by the wrist,4,NPDN,2375,2378,4
me,1,N,2381,2381,1
my chair,2,NN,2384,2385,2
it,1,N,2387,2387,1
none,1,N,2391,2391,1
he,1,N,2394,2394,1
you,1,N,2396,2396,1
gentleman anything which you,4,NNNN,2401,2404,4
me,1,N,2408,2408,1
count,1,N,2411,2411,1
his broad shoulders,3,NAN,2413,2415,3
i,1,N,2418,2418,1
he,1,N,2423,2423,1
you,1,N,2427,2427,1
absolute secrecy for two years at the end,8,ANPANPDN,2430,2437,8
two years at the end of that time,8,ANPDNPDN,2433,2440,8
matter,1,N,2442,2442,1
importance at present it,4,NPAN,2447,2450,4
it,1,N,2458,2458,1
such weight it,3,ANN,2461,2463,3
influence upon european history,4,NPAN,2467,2470,4
i,1,N,2473,2473,1
holmes,1,N,2477,2477,1
i,1,N,2480,2480,1
you,1,N,2483,2483,1
mask,1,N,2487,2487,1
our strange visitor,3,NAN,2490,2492,3
august person who,3,ANN,2495,2497,3
me,1,N,2499,2499,1
his agent,2,NN,2501,2502,2
you,1,N,2507,2507,1
i,1,N,2509,2509,1
title by which i,4,NPNN,2516,2519,4
myself,1,N,2523,2523,1
my,1,N,2527,2527,1
i,1,N,2531,2531,1
it,1,N,2535,2535,1
holmes,1,N,2538,2538,1
circumstances,1,N,2542,2542,1
great delicacy,2,AN,2545,2546,2
precaution,1,N,2549,2549,1
what,1,N,2556,2556,1
immense scandal,2,AN,2562,2563,2
families of europe,3,NPN,2571,2573,3
matter,1,N,2578,2578,1
great house of ormstein hereditary kings of bohemia,8,ANPAANPN,2581,2588,8
i,1,N,2591,2591,1
that,1,N,2596,2596,1
holmes,1,N,2599,2599,1
himself down in his armchair,5,NPPNN,2601,2605,5
his eyes our visitor,4,NNNN,2608,2611,4
apparent surprise at the languid,5,ANPDN,2615,2619,5
figure of the man who,5,NPDNN,2621,2625,5
him,1,N,2632,2632,1
incisive reasoner,2,AN,2636,2637,2
energetic agent in europe holmes,5,ANPAN,2640,2644,5
his eyes,2,NN,2647,2648,2
his gigantic client,3,NAN,2653,2655,3
your majesty,2,NN,2658,2659,2
your case,2,NN,2664,2665,2
he,1,N,2667,2667,1
i,1,N,2670,2670,1
you,1,N,2677,2677,1
man sprang from his chair,5,NNPNN,2680,2684,5
room in uncontrollable agitation,4,NPAN,2691,2694,4
gesture of desperation he,4,NPNN,2698,2701,4
mask from his face,4,NPNN,2704,2707,4
it upon the ground,4,NPDN,2710,2713,4
you,1,N,2715,2715,1
he,1,N,2719,2719,1
i,1,N,2722,2722,1
king,1,N,2725,2725,1
i,1,N,2728,2728,1
it,1,N,2732,2732,1
holmes,1,N,2739,2739,1
your majesty,2,NN,2741,2742,2
i,1,N,2747,2747,1
i,1,N,2751,2751,1
wilhelm gottsreich sigismond von,4,ANNN,2754,2757,4
cassel felstein,2,NN,2762,2763,2
hereditary king of bohemia,4,ANPN,2765,2768,4
you,1,N,2772,2772,1
our strange visitor,3,NAN,2777,2779,3
his hand over his high white forehead,7,NNPNANN,2786,2792,7
you,1,N,2794,2794,1
i,1,N,2798,2798,1
such business in my own person,6,ANPNAN,2804,2809,6
matter,1,N,2812,2812,1
i,1,N,2817,2817,1
it to an agent,4,NPDN,2821,2824,4
myself in his power i,5,NPNNN,2827,2831,5
prague for the purpose,4,NPDN,2836,2839,4
you,1,N,2842,2842,1
consult,1,N,2847,2847,1
holmes,1,N,2850,2850,1
his eyes,2,NN,2852,2853,2
facts,1,N,2858,2858,1
five years,2,AN,2863,2864,2
lengthy visit,2,AN,2868,2869,2
i,1,N,2872,2872,1
acquaintance,1,N,2875,2875,1
adventuress,1,N,2880,2880,1
name,1,N,2884,2884,1
you,1,N,2890,2890,1
her up in my index doctor,6,NPPNNN,2895,2900,6
holmes,1,N,2903,2903,1
his eyes for many years he,6,NNPANN,2906,2911,6
system,1,N,2915,2915,1
paragraphs,1,N,2919,2919,1
men,1,N,2921,2921,1
things,1,N,2923,2923,1
it,1,N,2926,2926,1
subject,1,N,2932,2932,1
person on which he,4,NPNN,2935,2938,4
furnish information in this case i,6,ANPDNN,2943,2948,6
her biography,2,NN,2950,2951,2
that of a hebrew rabbi,5,NPDNN,2955,2959,5
that of a staff commander who,6,NPDNNN,2961,2966,6
monograph upon the deep sea,5,NPDAN,2970,2974,5
me,1,N,2978,2978,1
holmes,1,N,2982,2982,1
new jersey in the year 1858 contralto,7,ANPDNAN,2987,2993,7
opera of warsaw,3,NPN,3002,3004,3
operatic stage,2,AN,3009,3010,2
ha,1,N,3012,3012,1
london,1,N,3015,3015,1
your,1,N,3019,3019,1
i,1,N,3022,3022,1
young person,2,AN,3028,3029,2
her,1,N,3031,3031,1
letters,1,N,3034,3034,1
letters,1,N,3042,3042,1
secret marriage,2,AN,3056,3057,2
none,1,N,3060,3060,1
legal papers,2,AN,3064,3065,2
certificates,1,N,3067,3067,1
none,1,N,3070,3070,1
i,1,N,3074,3074,1
your majesty,2,NN,3078,3079,2
young person,2,AN,3082,3083,2
her letters for blackmailing,4,NNPN,3086,3089,4
other purposes,2,AN,3091,3092,2
she,1,N,3095,3095,1
their authenticity,2,NN,3098,3099,2
there,1,N,3102,3102,1
writing,1,N,3105,3105,1
my private note paper,4,NANN,3113,3116,4
stolen,1,N,3119,3119,1
my own seal,3,NAN,3122,3124,3
my photograph,2,NN,3130,3131,2
we,1,N,3137,3137,1
photograph,1,N,3142,3142,1
that,1,N,3147,3147,1
bad your majesty,3,ANN,3150,3152,3
indiscretion,1,N,3157,3157,1
i,1,N,3160,3160,1
you,1,N,3167,3167,1
yourself,1,N,3170,3170,1
i,1,N,3174,3174,1
crown prince,2,AN,3177,3178,2
i,1,N,3180,3180,1
young i,2,AN,3182,3183,2
it,1,N,3190,3190,1
we,1,N,3196,3196,1
your majesty,2,NN,3203,3204,2
it,1,N,3207,3207,1
she,1,N,3213,3213,1
five attempts,2,AN,3223,3224,2
burglars in my,3,NPN,3229,3231,3
her house,2,NN,3234,3235,2
we,1,N,3237,3237,1
her luggage,2,NN,3239,3240,2
she,1,N,3242,3242,1
she,1,N,3245,3245,1
there,1,N,3249,3249,1
result,1,N,3253,3253,1
sign of it,3,NPN,3257,3259,3
none,1,N,3263,3263,1
holmes,1,N,3265,3265,1
it,1,N,3268,3268,1
little problem,2,AN,3273,3274,2
he,1,N,3277,3277,1
me,1,N,3285,3285,1
king,1,N,3289,3289,1
what,1,N,3295,3295,1
she,1,N,3297,3297,1
photograph,1,N,3303,3303,1
me,1,N,3308,3308,1
i,1,N,3315,3315,1
i,1,N,3324,3324,1
lothman von saxe meningen second daughter,6,NPNNAN,3331,3336,6
saxe meningen second daughter of the king,7,NNANPDN,3333,3339,7
meningen second daughter of the king of scandinavia,8,NANPDNPN,3334,3341,8
second daughter of the king of scandinavia you,8,ANPDNPNN,3335,3342,8
strict principles of her family she,6,ANPNNN,3346,3351,6
herself,1,N,3353,3353,1
very soul of delicacy,4,ANPN,3355,3358,4
shadow of a doubt as to my conduct,8,NPDNPPNN,3360,3367,8
matter to an end,4,NPDN,3371,3374,4
irene adler,2,AN,3378,3379,2
them,1,N,3385,3385,1
photograph,1,N,3387,3387,1
she,1,N,3389,3389,1
it i,2,NN,3392,3393,2
she,1,N,3396,3396,1
it you,2,NN,3399,3400,2
her,1,N,3404,3404,1
she,1,N,3406,3406,1
soul of steel she,4,NPNN,3409,3412,4
face,1,N,3415,3415,1
women,1,N,3421,3421,1
mind of the most resolute of men,7,NPDANPN,3424,3430,7
i,1,N,3433,3433,1
woman there,2,NN,3437,3438,2
lengths to which she,4,NPNN,3441,3444,4
none,1,N,3449,3449,1
you,1,N,3452,3452,1
she,1,N,3456,3456,1
it,1,N,3460,3460,1
i,1,N,3464,3464,1
she,1,N,3474,3474,1
she,1,N,3478,3478,1
it on the day,4,NPDN,3481,3484,4
betrothal,1,N,3487,3487,1
that,1,N,3491,3491,1
next monday,2,AN,3494,3495,2
we,1,N,3500,3500,1
three days,2,AN,3502,3503,2
holmes with a yawn,4,NPDN,3507,3510,4
that,1,N,3512,3512,1
i,1,N,3517,3517,1
two matters of importance,4,ANPN,3521,3524,4
your majesty,2,NN,3531,3532,2
london,1,N,3538,3538,1
you,1,N,3545,3545,1
me at the langham under the name,7,NPDNPDN,3548,3554,7
langham under the name of the count von,8,NPDNPDNN,3551,3558,8
name of the count von kramm,6,NPDNNN,3554,3559,6
i,1,N,3563,3563,1
you,1,N,3566,3566,1
line,1,N,3568,3568,1
you,1,N,3571,3571,1
we,1,N,3574,3574,1
i,1,N,3581,3581,1
money,1,N,3591,3591,1
you,1,N,3594,3594,1
carte blanche,2,NN,3596,3597,2
i,1,N,3603,3603,1
you,1,N,3605,3605,1
i,1,N,3607,3607,1
provinces of my kingdom,4,NPNN,3613,3616,4
photograph,1,N,3620,3620,1
present expenses,2,AN,3625,3626,2
king,1,N,3629,3629,1
heavy chamois leather bag from under his cloak,8,ANNNPPNN,3632,3639,8
it on the table,4,NPDN,3642,3645,4
there,1,N,3647,3647,1
three hundred pounds in gold,5,AANPN,3649,3653,5
notes,1,N,3658,3658,1
he,1,N,3660,3660,1
holmes,1,N,3662,3662,1
receipt upon a sheet of his note book,8,NPDNPNNN,3665,3672,8
it to him,3,NPN,3675,3677,3
mademoiselle,1,N,3680,3680,1
address,1,N,3682,3682,1
he,1,N,3684,3684,1
briony lodge serpentine avenue st john,6,AANPAN,3688,3693,6
wood,1,N,3695,3695,1
holmes,1,N,3697,3697,1
note of it,3,NPN,3700,3702,3
one other question,3,AAN,3704,3706,3
he,1,N,3709,3709,1
photograph,1,N,3713,3713,1
cabinet,1,N,3715,3715,1
it,1,N,3718,3718,1
good night your majesty,4,ANNN,3723,3726,4
i,1,N,3728,3728,1
we,1,N,3731,3731,1
good news for you,4,ANPN,3736,3739,4
good night watson,3,ANN,3741,3743,3
he,1,N,3745,3745,1
wheels of the royal brougham,5,NPDAN,3749,3753,5
street,1,N,3757,3757,1
you,1,N,3760,3760,1
afternoon at three o'clock i,5,NPANN,3769,3773,5
little,1,N,3779,3779,1
you,1,N,3783,3783,1
three o'clock,2,AN,3786,3787,2
i,1,N,3789,3789,1
baker street,2,NN,3792,3793,2
holmes,1,N,3795,3795,1
landlady,1,N,3801,3801,1
me,1,N,3803,3803,1
he,1,N,3805,3805,1
house,1,N,3809,3809,1
eight o'clock in the morning i,6,ANPDNN,3812,3817,6
fire,1,N,3822,3822,1
intention,1,N,3826,3826,1
him,1,N,3829,3829,1
he,1,N,3832,3832,1
i,1,N,3835,3835,1
his inquiry,2,NN,3841,3842,2
it,1,N,3845,3845,1
