keyword,ngram,pattern,start,end,phrase_length
he,1,N,35064,35064,1
it up he,3,NPN,35066,35068,3
boys by six he,4,NPAN,35074,35077,4
his jacket,2,NN,35079,35080,2
shirt,1,N,35082,35082,1
his lunch,2,NN,35086,35087,2
action,1,N,35089,35089,1
quarter of a minute,4,NPDN,35095,35098,4
brief moment,2,AN,35102,35103,2
numbness laid hold of the exposed fingers he,8,NANPDANN,35105,35112,8
mitten,1,N,35117,35117,1
fingers,1,N,35123,35123,1
dozen sharp smashes against his leg,6,NANPNN,35125,35130,6
he,1,N,35132,35132,1
snow,1,N,35137,35137,1
sting that,2,NN,35143,35144,2
striking of his fingers against his leg,7,NPNNPNN,35148,35154,7
he,1,N,35159,35159,1
he,1,N,35162,35162,1
chance,1,N,35166,35166,1
bite of biscuit he,4,NPNN,35170,35173,4
fingers,1,N,35176,35176,1
them to the mitten,4,NPDN,35180,35183,4
other hand for the purpose,5,ANPDN,35186,35190,5
he,1,N,35193,35193,1
mouthful,1,N,35198,35198,1
ice muzzle,2,NN,35201,35202,2
he,1,N,35204,35204,1
fire,1,N,35210,35210,1
he,1,N,35214,35214,1
his foolishness,2,NN,35217,35218,2
he,1,N,35221,35221,1
he,1,N,35223,35223,1
numbness,1,N,35226,35226,1
fingers,1,N,35231,35231,1
he,1,N,35233,35233,1
stinging which,2,NN,35237,35238,2
his toes,2,NN,35243,35244,2
he,1,N,35246,35246,1
he,1,N,35253,35253,1
toes,1,N,35257,35257,1
he,1,N,35262,35262,1
them inside the moccasins,4,NPDN,35264,35267,4
they,1,N,35271,35271,1
he,1,N,35274,35274,1
mitten,1,N,35277,35277,1
he,1,N,35283,35283,1
bit,1,N,35286,35286,1
he,1,N,35288,35288,1
stinging,1,N,35295,35295,1
feet it,2,NN,35299,35300,2
his,1,N,35305,35305,1
man from sulphur creek,4,NPNN,35308,35311,4
truth,1,N,35315,35315,1
cold it,2,AN,35319,35320,2
country,1,N,35325,35325,1
he,1,N,35327,35327,1
him at the time that,5,NPDNN,35331,35335,5
things there,2,NN,35344,35345,2
mistake about it it,4,NPNN,35348,35351,4
cold he,2,AN,35353,35354,2
his feet,2,NN,35360,35361,2
his arms,2,NN,35364,35365,2
warmth,1,N,35371,35371,1
he,1,N,35373,35373,1
matches,1,N,35376,35376,1
fire from the undergrowth,4,NPDN,35382,35385,4
high water of the previous spring,6,ANPDAN,35387,35392,6
supply of seasoned twigs he,5,NPANN,35396,35400,5
his firewood,2,NN,35402,35403,2
small beginning he,3,ANN,35408,35410,3
roaring fire over which he,5,NNPNN,35414,35418,5
ice from his face,4,NPNN,35421,35424,4
protection of which he,4,NPNN,35428,35431,4
his biscuits for the moment,5,NNPDN,35433,35437,5
cold of space,3,NPN,35439,35441,3
dog,1,N,35445,35445,1
satisfaction in the fire,4,NPDN,35447,35450,4
warmth,1,N,35456,35456,1
man,1,N,35467,35467,1
he,1,N,35470,35470,1
his pipe,2,NN,35472,35473,2
his comfortable time over a smoke,6,NANPDN,35476,35481,6
he,1,N,35483,35483,1
his mittens,2,NN,35486,35487,2
ear flaps of his cap,5,ANPNN,35490,35494,5
his ears,2,NN,35497,35498,2
creek trail up the left,5,NNPDN,35502,35506,5
dog,1,N,35509,35509,1
fire,1,N,35517,35517,1
man,1,N,35519,35519,1
generations of his ancestry,4,NPNN,35527,35530,4
cold one,2,AN,35540,35541,2
degrees below freezing point,4,NPAN,35545,35548,4
dog,1,N,35551,35551,1
its ancestry,2,NN,35554,35555,2
it,1,N,35558,35558,1
knowledge,1,N,35562,35562,1
it,1,N,35564,35564,1
it,1,N,35567,35567,1
such fearful cold it,4,AAAN,35575,35578,4
time,1,N,35581,35581,1
snug in a hole in the snow,7,NPDNPDN,35584,35590,7
curtain of cloud,3,NPN,35595,35597,3
face of outer space,4,NPAN,35603,35606,4
other hand there,3,ANN,35613,35615,3
keen intimacy between the dog,5,ANPDN,35617,35621,5
man,1,N,35624,35624,1
one,1,N,35626,35626,1
toil slave,2,NN,35629,35630,2
only caresses it,3,ANN,35636,35638,3
caresses of the whip lash,5,NPDNN,35644,35648,5
throat sounds that,3,NNN,35654,35656,3
whip lash,2,NN,35659,35660,2
dog,1,N,35663,35663,1
effort,1,N,35666,35666,1
its apprehension to the man it,6,NNPDNN,35669,35674,6
welfare of the man it,5,NPDNN,35680,35684,5
its own sake,3,NAN,35687,35689,3
it,1,N,35691,35691,1
fire,1,N,35696,35696,1
man,1,N,35699,35699,1
it with the sound of whip lashes,7,NPDNPNN,35704,35710,7
dog swung in at the man,6,NNPPDN,35713,35718,6
heels,1,N,35720,35720,1
man,1,N,35725,35725,1
chew of tobacco,3,NPN,35728,35730,3
new amber,2,AN,35736,35737,2
his moist breath,3,NNN,35740,35742,3
white his moustache,3,NNN,35746,35748,3
there,1,N,35752,35752,1
many springs on the left fork,6,ANPDAN,35759,35764,6
springs on the left fork of the henderson,8,NPDANPDN,35760,35767,8
hour,1,N,35772,35772,1
man,1,N,35774,35774,1
signs,1,N,35777,35777,1
it,1,N,35782,35782,1
place,1,N,35786,35786,1
there,1,N,35788,35788,1
signs,1,N,35791,35791,1
soft unbroken snow,3,AAN,35794,35796,3
solidity beneath the man,4,NPDN,35800,35803,4
it,1,N,35806,35806,1
deep he,2,AN,35809,35810,2
himself,1,N,35812,35812,1
knees,1,N,35817,35817,1
he,1,N,35819,35819,1
firm crust he,3,NNN,35824,35826,3
his luck,2,NN,35831,35832,2
he,1,N,35834,35834,1
camp with the boys at six o'clock,7,NPDNPAN,35840,35846,7
this,1,N,35848,35848,1
him,1,N,35851,35851,1
hour,1,N,35853,35853,1
he,1,N,35855,35855,1
fire,1,N,35861,35861,1
his foot,2,NN,35865,35866,2
this,1,N,35868,35868,1
low temperature,2,AN,35873,35874,2
he,1,N,35876,35876,1
he,1,N,35881,35881,1
bank which he,3,NNN,35886,35888,3
top,1,N,35891,35891,1
underbrush about the trunks of several small spruce,8,NPDNPAAN,35895,35902,8
trunks of several small spruce trees,6,NPAANN,35898,35903,6
high water deposit of dry firewood,6,ANNPAN,35906,35911,6
sticks,1,N,35913,35913,1
twigs,1,N,35915,35915,1
larger portions of seasoned branches,5,ANPAN,35919,35923,5
fine dry last year,4,ANAN,35925,35928,4
grasses he,2,NN,35930,35931,2
several large pieces on top of the snow,8,AANPNPDN,35934,35941,8
large pieces on top of the snow this,8,ANPNPDNN,35935,35942,8
foundation,1,N,35946,35946,1
young flame,2,AN,35950,35951,2
itself in the snow it,5,NPDNN,35954,35958,5
flame he,2,NN,35963,35964,2
match to a small shred of birch bark,8,NPDANPDN,35969,35976,8
he,1,N,35978,35978,1
his pocket this,3,NNN,35981,35983,3
paper,1,N,35989,35989,1
it on the foundation he,5,NPDNN,35991,35995,5
young flame with wisps of dry grass,7,ANPNPAN,35998,36004,7
tiniest dry twigs he,4,AANN,36008,36011,4
his danger,2,NN,36019,36020,2
flame,1,N,36024,36024,1
stronger he,2,AN,36026,36027,2
size of the twigs with which he,7,NPDNPNN,36030,36036,7
it he,2,NN,36038,36039,2
snow,1,N,36043,36043,1
twigs out from their entanglement in the brush,8,NPPNNPDN,36046,36053,8
flame he,2,NN,36059,36060,2
there,1,N,36062,36062,1
failure,1,N,36066,36066,1
it,1,N,36068,36068,1
man,1,N,36075,36075,1
his first attempt,3,NAN,36080,36082,3
fire,1,N,36086,36086,1
that,1,N,36088,36088,1
his feet,2,NN,36091,36092,2
his feet,2,NN,36096,36097,2
he,1,N,36101,36101,1
he,1,N,36103,36103,1
trail for half a mile,5,NPDDN,36108,36112,5
his circulation,2,NN,36115,36116,2
circulation,1,N,36119,36119,1
freezing feet,2,AN,36123,36124,2
it,1,N,36132,36132,1
matter,1,N,36138,36138,1
he,1,N,36141,36141,1
wet feet,2,AN,36144,36145,2
harder,1,N,36149,36149,1
man,1,N,36153,36153,1
old timer on sulphur creek,5,ANPNN,36156,36160,5
him about it,3,NPN,36163,36165,3
previous fall,2,AN,36167,36168,2
he,1,N,36171,36171,1
advice,1,N,36175,36175,1
sensation,1,N,36178,36178,1
his feet,2,NN,36183,36184,2
fire he,2,NN,36188,36189,2
his mittens,2,NN,36195,36196,2
fingers,1,N,36199,36199,1
numb his pace of four miles,6,ANNPAN,36203,36208,6
hour,1,N,36210,36210,1
his heart,2,NN,36213,36214,2
blood to the surface of his body,7,NPDNPNN,36216,36222,7
extremities,1,N,36227,36227,1
instant he,2,NN,36230,36231,2
action of the pump,4,NPDN,36234,36237,4
cold of space,3,NPN,36241,36243,3
unprotected tip of the planet,5,ANPDN,36246,36250,5
he,1,N,36252,36252,1
unprotected tip,2,AN,36256,36257,2
full force of the blow,5,ANPDN,36260,36264,5
blood of his body,4,NPNN,36266,36269,4
it,1,N,36272,36272,1
blood,1,N,36274,36274,1
dog,1,N,36279,36279,1
dog it,2,NN,36283,36284,2
itself,1,N,36291,36291,1
he,1,N,36300,36300,1
four miles,2,AN,36302,36303,2
hour he,2,NN,36305,36306,2
blood,1,N,36309,36309,1
surface,1,N,36314,36314,1
it,1,N,36317,36317,1
recesses of his body,4,NPNN,36325,36328,4
extremities,1,N,36330,36330,1
its absence his wet feet,5,NNNAN,36336,36340,5
faster,1,N,36343,36343,1
his,1,N,36345,36345,1
fingers,1,N,36347,36347,1
faster,1,N,36350,36350,1
they,1,N,36352,36352,1
nose,1,N,36359,36359,1
cheeks,1,N,36361,36361,1
skin of all his body,5,NPDNN,36367,36371,5
it,1,N,36374,36374,1
it,1,N,36376,36376,1
blood,1,N,36378,36378,1
he,1,N,36380,36380,1
safe toes,2,AN,36382,36383,2
nose,1,N,36385,36385,1
cheeks,1,N,36387,36387,1
frost for the fire,4,NPDN,36394,36397,4
strength he,2,NN,36403,36404,2
it with twigs,3,NPN,36407,36409,3
size of his finger in another minute he,8,NPNNPDNN,36411,36418,8
it with branches,3,NPN,36424,36426,3
size of his wrist,4,NPNN,36428,36431,4
he,1,N,36434,36434,1
his wet foot gear,4,NANN,36437,36440,4
it,1,N,36443,36443,1
he,1,N,36445,36445,1
his naked feet,3,NAN,36448,36450,3
fire,1,N,36454,36454,1
them,1,N,36456,36456,1
snow,1,N,36462,36462,1
fire,1,N,36464,36464,1
success he,2,NN,36467,36468,2
safe he,2,AN,36470,36471,2
advice of the old timer on sulphur creek,8,NPDANPNN,36474,36481,8
old timer,2,AN,36485,36486,2
law,1,N,36495,36495,1
man,1,N,36498,36498,1
klondike,1,N,36504,36504,1
he,1,N,36510,36510,1
he,1,N,36512,36512,1
accident he,2,NN,36516,36517,2
he,1,N,36521,36521,1
himself,1,N,36524,36524,1
old timers,2,AN,36526,36527,2
them he,2,NN,36533,36534,2
man,1,N,36538,36538,1
his head,2,NN,36545,36546,2
he,1,N,36548,36548,1
man who,2,NN,36553,36554,2
man,1,N,36557,36557,1
it,1,N,36562,36562,1
rapidity with which his cheeks,5,NPNNN,36566,36570,5
nose,1,N,36572,36572,1
he,1,N,36576,36576,1
his fingers,2,NN,36580,36581,2
time,1,N,36589,36589,1
they,1,N,36591,36591,1
he,1,N,36594,36594,1
them,1,N,36598,36598,1
twig,1,N,36604,36604,1
they,1,N,36606,36606,1
his body,2,NN,36610,36611,2
him,1,N,36614,36614,1
he,1,N,36616,36616,1
twig he,2,NN,36619,36620,2
he,1,N,36629,36629,1
hold of it,3,NPN,36631,36633,3
wires,1,N,36635,36635,1
him,1,N,36641,36641,1
his finger,2,NN,36643,36644,2
which,1,N,36648,36648,1
little there,2,AN,36651,36652,2
fire snapping,2,NN,36655,36656,2
crackling,1,N,36658,36658,1
life with every dancing flame he,6,NPDNNN,36661,36666,6
his moccasins they,3,NNN,36670,36672,3
ice,1,N,36676,36676,1
thick german socks,3,ANN,36678,36680,3
sheaths of iron half,4,NPAN,36683,36686,4
knees,1,N,36690,36690,1
mocassin strings,2,NN,36693,36694,2
rods of steel,3,NPN,36697,36699,3
conflagration for a moment he,5,NPDNN,36707,36711,5
his,1,N,36714,36714,1
fingers,1,N,36716,36716,1
folly of it he,4,NPNN,36720,36723,4
his sheath knife,3,NNN,36725,36727,3
he,1,N,36730,36730,1
strings it,2,NN,36734,36735,2
it,1,N,36737,36737,1
